id name division gender
vu000 "Kelly  Mr. James" 3 male
vu001 "Wilkes  Mrs. James (Ellen Needs)" 3 female
vu002 "Myles  Mr. Thomas Francis" 2 male
vu003 "Wirz  Mr. Albert" 3 male
vu004 "Hirvonen  Mrs. Alexander (Helga E Lindqvist)" 3 female
vu005 "Svensson  Mr. Johan Cervin" 3 male
vu006 "Connolly  Miss. Kate" 3 female
vu007 "Caldwell  Mr. Albert Francis" 2 male
vu008 "Abrahim  Mrs. Joseph (Sophie Halaut Easu)" 3 female
vu009 "Davies  Mr. John Samuel" 3 male
vu010 "Ilieff  Mr. Ylio" 3 male
vu011 "Jones  Mr. Charles Cresson" 1 male
vu012 "Snyder  Mrs. John Pillsbury (Nelle Stevenson)" 1 female
vu013 "Howard  Mr. Benjamin" 2 male
vu014 "Chaffee  Mrs. Herbert Fuller (Carrie Constance Toogood)" 1 female
vu015 "del Carlo  Mrs. Sebastiano (Argenia Genovesi)" 2 female
vu016 "Keane  Mr. Daniel" 2 male
vu017 "Assaf  Mr. Gerios" 3 male
vu018 "Ilmakangas  Miss. Ida Livija" 3 female
vu019 "Assaf Khalil  Mrs. Mariana (Miriam"")""" 3 female
vu020 "Rothschild  Mr. Martin" 1 male
vu021 "Olsen  Master. Artur Karl" 3 male
vu022 "Flegenheim  Mrs. Alfred (Antoinette)" 1 female
vu023 "Williams  Mr. Richard Norris II" 1 male
vu024 "Ryerson  Mrs. Arthur Larned (Emily Maria Borie)" 1 female
vu025 "Robins  Mr. Alexander A" 3 male
vu026 "Ostby  Miss. Helene Ragnhild" 1 female
vu027 "Daher  Mr. Shedid" 3 male
vu028 "Brady  Mr. John Bertram" 1 male
vu029 "Samaan  Mr. Elias" 3 male
vu030 "Louch  Mr. Charles Alexander" 2 male
vu031 "Jefferys  Mr. Clifford Thomas" 2 male
vu032 "Dean  Mrs. Bertram (Eva Georgetta Light)" 3 female
vu033 "Johnston  Mrs. Andrew G (Elizabeth Lily"" Watson)""" 3 female
vu034 "Mock  Mr. Philipp Edmund" 1 male
vu035 "Katavelas  Mr. Vassilios (Catavelas Vassilios"")""" 3 male
vu036 "Roth  Miss. Sarah A" 3 female
vu037 "Cacic  Miss. Manda" 3 female
vu038 "Sap  Mr. Julius" 3 male
vu039 "Hee  Mr. Ling" 3 male
vu040 "Karun  Mr. Franz" 3 male
vu041 "Franklin  Mr. Thomas Parham" 1 male
vu042 "Goldsmith  Mr. Nathan" 3 male
vu043 "Corbett  Mrs. Walter H (Irene Colvin)" 2 female
vu044 "Kimball  Mrs. Edwin Nelson Jr (Gertrude Parsons)" 1 female
vu045 "Peltomaki  Mr. Nikolai Johannes" 3 male
vu046 "Chevre  Mr. Paul Romaine" 1 male
vu047 "Shaughnessy  Mr. Patrick" 3 male
vu048 "Bucknell  Mrs. William Robert (Emma Eliza Ward)" 1 female
vu049 "Coutts  Mrs. William (Winnie Minnie"" Treanor)""" 3 female
vu050 "Smith  Mr. Lucien Philip" 1 male
vu051 "Pulbaum  Mr. Franz" 2 male
vu052 "Hocking  Miss. Ellen Nellie""""" 2 female
vu053 "Fortune  Miss. Ethel Flora" 1 female
vu054 "Mangiavacchi  Mr. Serafino Emilio" 2 male
vu055 "Rice  Master. Albert" 3 male
vu056 "Cor  Mr. Bartol" 3 male
vu057 "Abelseth  Mr. Olaus Jorgensen" 3 male
vu058 "Davison  Mr. Thomas Henry" 3 male
vu059 "Chaudanson  Miss. Victorine" 1 female
vu060 "Dika  Mr. Mirko" 3 male
vu061 "McCrae  Mr. Arthur Gordon" 2 male
vu062 "Bjorklund  Mr. Ernst Herbert" 3 male
vu063 "Bradley  Miss. Bridget Delia" 3 female
vu064 "Ryerson  Master. John Borie" 1 male
vu065 "Corey  Mrs. Percy C (Mary Phyllis Elizabeth Miller)" 2 female
vu066 "Burns  Miss. Mary Delia" 3 female
vu067 "Moore  Mr. Clarence Bloomfield" 1 male
vu068 "Tucker  Mr. Gilbert Milligan Jr" 1 male
vu069 "Fortune  Mrs. Mark (Mary McDougald)" 1 female
vu070 "Mulvihill  Miss. Bertha E" 3 female
vu071 "Minkoff  Mr. Lazar" 3 male
vu072 "Nieminen  Miss. Manta Josefina" 3 female
vu073 "Ovies y Rodriguez  Mr. Servando" 1 male
vu074 "Geiger  Miss. Amalie" 1 female
vu075 "Keeping  Mr. Edwin" 1 male
vu076 "Miles  Mr. Frank" 3 male
vu077 "Cornell  Mrs. Robert Clifford (Malvina Helen Lamson)" 1 female
vu078 "Aldworth  Mr. Charles Augustus" 2 male
vu079 "Doyle  Miss. Elizabeth" 3 female
vu080 "Boulos  Master. Akar" 3 male
vu081 "Straus  Mr. Isidor" 1 male
vu082 "Case  Mr. Howard Brown" 1 male
vu083 "Demetri  Mr. Marinko" 3 male
vu084 "Lamb  Mr. John Joseph" 2 male
vu085 "Khalil  Mr. Betros" 3 male
vu086 "Barry  Miss. Julia" 3 female
vu087 "Badman  Miss. Emily Louisa" 3 female
vu088 "O'Donoghue  Ms. Bridget" 3 female
vu089 "Wells  Master. Ralph Lester" 2 male
vu090 "Dyker  Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)" 3 female
vu091 "Pedersen  Mr. Olaf" 3 male
vu092 "Davidson  Mrs. Thornton (Orian Hays)" 1 female
vu093 "Guest  Mr. Robert" 3 male
vu094 "Birnbaum  Mr. Jakob" 1 male
vu095 "Tenglin  Mr. Gunnar Isidor" 3 male
vu096 "Cavendish  Mrs. Tyrell William (Julia Florence Siegel)" 1 female
vu097 "Makinen  Mr. Kalle Edvard" 3 male
vu098 "Braf  Miss. Elin Ester Maria" 3 female
vu099 "Nancarrow  Mr. William Henry" 3 male
vu100 "Stengel  Mrs. Charles Emil Henry (Annie May Morris)" 1 female
vu101 "Weisz  Mr. Leopold" 2 male
vu102 "Foley  Mr. William" 3 male
vu103 "Johansson Palmquist  Mr. Oskar Leander" 3 male
vu104 "Thomas  Mrs. Alexander (Thamine Thelma"")""" 3 female
vu105 "Holthen  Mr. Johan Martin" 3 male
vu106 "Buckley  Mr. Daniel" 3 male
vu107 "Ryan  Mr. Edward" 3 male
vu108 "Willer  Mr. Aaron (Abi Weller"")""" 3 male
vu109 "Swane  Mr. George" 2 male
vu110 "Stanton  Mr. Samuel Ward" 2 male
vu111 "Shine  Miss. Ellen Natalia" 3 female
vu112 "Evans  Miss. Edith Corse" 1 female
vu113 "Buckley  Miss. Katherine" 3 female
vu114 "Straus  Mrs. Isidor (Rosalie Ida Blun)" 1 female
vu115 "Chronopoulos  Mr. Demetrios" 3 male
vu116 "Thomas  Mr. John" 3 male
vu117 "Sandstrom  Miss. Beatrice Irene" 3 female
vu118 "Beattie  Mr. Thomson" 1 male
vu119 "Chapman  Mrs. John Henry (Sara Elizabeth Lawry)" 2 female
vu120 "Watt  Miss. Bertha J" 2 female
vu121 "Kiernan  Mr. John" 3 male
vu122 "Schabert  Mrs. Paul (Emma Mock)" 1 female
vu123 "Carver  Mr. Alfred John" 3 male
vu124 "Kennedy  Mr. John" 3 male
vu125 "Cribb  Miss. Laura Alice" 3 female
vu126 "Brobeck  Mr. Karl Rudolf" 3 male
vu127 "McCoy  Miss. Alicia" 3 female
vu128 "Bowenur  Mr. Solomon" 2 male
vu129 "Petersen  Mr. Marius" 3 male
vu130 "Spinner  Mr. Henry John" 3 male
vu131 "Gracie  Col. Archibald IV" 1 male
vu132 "Lefebre  Mrs. Frank (Frances)" 3 female
vu133 "Thomas  Mr. Charles P" 3 male
vu134 "Dintcheff  Mr. Valtcho" 3 male
vu135 "Carlsson  Mr. Carl Robert" 3 male
vu136 "Zakarian  Mr. Mapriededer" 3 male
vu137 "Schmidt  Mr. August" 2 male
vu138 "Drapkin  Miss. Jennie" 3 female
vu139 "Goodwin  Mr. Charles Frederick" 3 male
vu140 "Goodwin  Miss. Jessie Allis" 3 female
vu141 "Daniels  Miss. Sarah" 1 female
vu142 "Ryerson  Mr. Arthur Larned" 1 male
vu143 "Beauchamp  Mr. Henry James" 2 male
vu144 "Lindeberg-Lind  Mr. Erik Gustaf (Mr Edward Lingrey"")""" 1 male
vu145 "Vander Planke  Mr. Julius" 3 male
vu146 "Hilliard  Mr. Herbert Henry" 1 male
vu147 "Davies  Mr. Evan" 3 male
vu148 "Crafton  Mr. John Bertram" 1 male
vu149 "Lahtinen  Rev. William" 2 male
vu150 "Earnshaw  Mrs. Boulton (Olive Potter)" 1 female
vu151 "Matinoff  Mr. Nicola" 3 male
vu152 "Storey  Mr. Thomas" 3 male
vu153 "Klasen  Mrs. (Hulda Kristina Eugenia Lofqvist)" 3 female
vu154 "Asplund  Master. Filip Oscar" 3 male
vu155 "Duquemin  Mr. Joseph" 3 male
vu156 "Bird  Miss. Ellen" 1 female
vu157 "Lundin  Miss. Olga Elida" 3 female
vu158 "Borebank  Mr. John James" 1 male
vu159 "Peacock  Mrs. Benjamin (Edith Nile)" 3 female
vu160 "Smyth  Miss. Julia" 3 female
vu161 "Touma  Master. Georges Youssef" 3 male
vu162 "Wright  Miss. Marion" 2 female
vu163 "Pearce  Mr. Ernest" 3 male
vu164 "Peruschitz  Rev. Joseph Maria" 2 male
vu165 "Kink-Heilmann  Mrs. Anton (Luise Heilmann)" 3 female
vu166 "Brandeis  Mr. Emil" 1 male
vu167 "Ford  Mr. Edward Watson" 3 male
vu168 "Cassebeer  Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)" 1 female
vu169 "Hellstrom  Miss. Hilda Maria" 3 female
vu170 "Lithman  Mr. Simon" 3 male
vu171 "Zakarian  Mr. Ortin" 3 male
vu172 "Dyker  Mr. Adolf Fredrik" 3 male
vu173 "Torfa  Mr. Assad" 3 male
vu174 "Asplund  Mr. Carl Oscar Vilhelm Gustafsson" 3 male
vu175 "Brown  Miss. Edith Eileen" 2 female
vu176 "Sincock  Miss. Maude" 2 female
vu177 "Stengel  Mr. Charles Emil Henry" 1 male
vu178 "Becker  Mrs. Allen Oliver (Nellie E Baumgardner)" 2 female
vu179 "Compton  Mrs. Alexander Taylor (Mary Eliza Ingersoll)" 1 female
vu180 "McCrie  Mr. James Matthew" 2 male
vu181 "Compton  Mr. Alexander Taylor Jr" 1 male
vu182 "Marvin  Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)" 1 female
vu183 "Lane  Mr. Patrick" 3 male
vu184 "Douglas  Mrs. Frederick Charles (Mary Helene Baxter)" 1 female
vu185 "Maybery  Mr. Frank Hubert" 2 male
vu186 "Phillips  Miss. Alice Frances Louisa" 2 female
vu187 "Davies  Mr. Joseph" 3 male
vu188 "Sage  Miss. Ada" 3 female
vu189 "Veal  Mr. James" 2 male
vu190 "Angle  Mr. William A" 2 male
vu191 "Salomon  Mr. Abraham L" 1 male
vu192 "van Billiard  Master. Walter John" 3 male
vu193 "Lingane  Mr. John" 2 male
vu194 "Drew  Master. Marshall Brines" 2 male
vu195 "Karlsson  Mr. Julius Konrad Eugen" 3 male
vu196 "Spedden  Master. Robert Douglas" 1 male
vu197 "Nilsson  Miss. Berta Olivia" 3 female
vu198 "Baimbrigge  Mr. Charles Robert" 2 male
vu199 "Rasmussen  Mrs. (Lena Jacobsen Solvang)" 3 female
vu200 "Murphy  Miss. Nora" 3 female
vu201 "Danbom  Master. Gilbert Sigvard Emanuel" 3 male
vu202 "Astor  Col. John Jacob" 1 male
vu203 "Quick  Miss. Winifred Vera" 2 female
